#Min Pressure(mps);Max Pressure(mps);Deformation(mm)
1;26,4;0
26,4;51,8;1,2
51,8;77,2;2,2
77,2;102,6;3
102,6;128;4
128;153,4;5
153,4;178,8;6
178,8;204,2;7
204,2;229,6;8
229,6;255;9
